i, n, Target, Mean, Variance, Greedy Accuracy
1, 1, 0, 1.0, 0.0, NaN
2, 2, 0, 1.0, 0.0, NaN
3, 3, 0, 1.0, 0.0, NaN
4, 4, 0, 1.0, 0.0, NaN
5, 5, 0, 1.0, 0.0, NaN
6, 6, 0, 1.0, 0.0, NaN
7, 7, 0, 1.0, 0.0, NaN
8, 8, 0, 1.0, 0.0, NaN
9, 9, 0, 1.0, 0.0, NaN
10, 10, 0, 1.0, 0.0, NaN
11, 11, 0, 1.0, 0.0, NaN
12, 12, 0, 1.0, 0.0, NaN
13, 13, 0, 1.0, 0.0, NaN
14, 14, 0, 1.0, 0.0, NaN
15, 15, 0, 1.0, 0.0, NaN
16, 16, 0, 1.0, 0.0, NaN
17, 17, 0, 1.0, 0.0, NaN
18, 18, 0, 1.0, 0.0, NaN
19, 19, 0, 1.0, 0.0, NaN
20, 20, 0, 1.0, 0.0, NaN
21, 21, 0, 1.0, 0.0, NaN
22, 22, 0, 1.0, 0.0, NaN
23, 23, 0, 1.0, 0.0, NaN
24, 24, 0, 1.0, 0.0, NaN
25, 25, 0, 1.0, 0.0, NaN
26, 26, 0, 1.0, 0.0, NaN
27, 27, 0, 1.0, 0.0, NaN
28, 28, 0, 1.0, 0.0, NaN
29, 29, 0, 1.0, 0.0, NaN
30, 20, 1, 0.05, 0.21794494717703364, 1.0
31, 20, 2, 0.1, 0.30000000000000004, 1.0
32, 20, 3, 0.15, 0.3570714214271425, 1.0
33, 20, 4, 0.2, 0.4000000000000001, 1.0
34, 20, 5, 0.25, 0.4330127018922193, 1.0
35, 20, 6, 0.3, 0.45825756949558394, 1.0
36, 20, 7, 0.35, 0.4769696007084728, 1.0
37, 20, 8, 0.4, 0.48989794855663565, 1.0
38, 20, 9, 0.45, 0.4974937185533099, 1.0
39, 20, 10, 0.5, 0.5, 1.0
40, 20, 11, 0.55, 0.49749371855331, 1.0
41, 20, 12, 0.6, 0.48989794855663565, 1.0
42, 20, 13, 0.65, 0.47696960070847283, 1.0
43, 20, 14, 0.7, 0.45825756949558394, 1.0
44, 20, 15, 0.75, 0.4330127018922193, 1.0
45, 20, 16, 0.8, 0.4, 1.0
46, 20, 17, 0.85, 0.3570714214271425, 1.0
47, 20, 18, 0.9, 0.3, 1.0
48, 20, 19, 0.95, 0.21794494717703367, 1.0
49, 20, 20, 1.0, 0.0, 1.0
50, 15, 12500.0, 4046.9333333333334, 2951.660605301512, 0.99168
51, 16, 12750.0, 4063.1875, 2453.3766582699345, 0.9983529411764706
52, 17, 13000.0, 4400.0, 2492.364126923767, 0.9980769230769231
53, 18, 13250.0, 4640.055555555556, 2478.7532142013615, 0.9642264150943396
54, 19, 13500.0, 4875.9473684210525, 2848.5257585687928, 0.9992592592592593
55, 20, 13750.0, 4668.75, 2784.1088857119075, 0.9997818181818182
56, 21, 14000.0, 3556.1428571428573, 2217.0065464970744, 0.9966428571428572
57, 22, 14250.0, 4571.636363636364, 2597.4225431701702, 0.9827368421052631
58, 23, 14500.0, 5055.173913043478, 2248.0497374231213, 0.9999310344827587
59, 24, 14750.0, 4493.291666666667, 2416.156684336487, 0.9968813559322034
60, 25, 15000.0, 6637.6, 2623.832418429195, 0.9866666666666667
61, 26, 15250.0, 4938.307692307692, 2938.5835123697943, 0.992655737704918
62, 27, 15500.0, 5433.0, 2927.394569060167, 0.9993548387096775
63, 28, 15750.0, 5116.071428571428, 2679.6854816586674, 0.9955555555555555
64, 29, 16000.0, 5208.172413793103, 2620.659959904355, 0.994625
65, 15, 6160, 6184.266666666666, 3101.42862708283, 0.9948051948051948
66, 16, 9456, 6182.75, 3002.9511005842237, 0.9865693739424704
67, 17, 4159, 6375.294117647059, 3013.375726064705, 0.7790334214955519
68, 18, 2972, 6252.166666666667, 2972.1525916039, 0.9885598923283984
69, 19, 8327, 6079.526315789473, 2984.165604414513, 0.9987990873063528
70, 20, 3389, 6191.9, 2949.561186007166, 0.9660666863381528
71, 21, 4853, 6058.428571428572, 2939.7146374537556, 0.9748609107768391
72, 22, 5516, 6003.636363636364, 2883.0805422712597, 0.9880348078317621
73, 23, 4262, 5982.434782608696, 2821.4614286877604, 0.9758329422806195
74, 24, 1646, 5910.75, 2783.368706112553, 0.9210206561360875
75, 25, 7093, 5740.16, 2852.31107251646, 0.9947835894543916
76, 26, 3106, 5792.192307692308, 2808.9947972023833, 0.9568576947842885
77, 27, 6472, 5692.7037037037035, 2802.7772577664728, 0.9984548825710754
78, 28, 8867, 5720.535714285715, 2756.0695549244824, 0.9927822262320966
79, 29, 6236, 5829.0344827586205, 2768.321992468245, 0.9878127004490058
80, 20, 4230100566, 2028994430.8, 1210969903.2381117, 0.9984662570312991
81, 21, 277069428, 2133809008.6666667, 1271353278.5969744, 0.9554795738777792
82, 22, 2934241198, 2049411755.0, 1300941974.9483724, 0.9889166429051004
83, 23, 1696434625, 2087882600.347826, 1285077962.3542285, 0.9977466122515626
84, 24, 2633880204, 2071572268.0416667, 1260450157.1098983, 0.9964957870954103
85, 25, 3273546516, 2094064585.48, 1239889881.7499702, 0.9902343620768027
86, 26, 2380910189, 2139429275.1153846, 1236789326.074131, 0.982308567876854
87, 27, 598630825, 2148373012.6666665, 1214526230.6640334, 0.9726804028175462
88, 28, 1503135148, 2093025077.392857, 1226826959.392114, 0.991696696723108
89, 29, 3392306130, 2072684045.3448277, 1210284862.8916752, 0.988208659694283
90, 20, 2656174599, 1925926802.7, 1169090625.2226207, 0.9928548575055476
91, 21, 639031226, 1960700507.2857144, 1151465447.7070363, 0.6980385869281449
92, 22, 1454769105, 1900624630.8636363, 1158186974.0560298, 0.9787292265874727
93, 23, 2291886844, 1881239608.0, 1136372560.2641098, 0.9865256750869503
94, 24, 2341456427, 1898349909.5, 1115468596.525023, 0.9879396389040725
95, 25, 1534876046, 1916074170.2, 1096375377.4400637, 0.9985024536632843
96, 26, 743183253, 1901412703.8846154, 1077580932.0463557, 0.948347448835745
97, 27, 3047575536, 1858515316.8148148, 1079823506.4409137, 0.9993289761071241
98, 28, 2284495503, 1900981753.2142856, 1083082189.0617633, 0.9897175166380706
99, 29, 55914146, 1914206365.275862, 1066542718.9186385, 0.6084309863196337
